Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/google/gtfs-realtime-bindings,868565,github.com/google/gtfs-realtime-bindings/golang/gtfs,https://github.com/google/gtfs-realtime-bindings,https://github.com/google/gtfs-realtime-bindings,611897,com.google.transit:gtfs-realtime-bindings,https://github.com/google/gtfs-realtime-bindings,http://github.com/google/gtfs-realtime-bindings,67638,gtfs-realtime-bindings,http://github.com/google/gtfs-realtime-bindings,http://github.com/google/gtfs-realtime-bindings
github.com/jquery/jquery-dist,87542,github.com/jquery/jquery-dist,https://github.com/jquery/jquery-dist,https://github.com/jquery/jquery-dist,68118,org.webjars.bower:github-com-jquery-jquery-dist,https://www.webjars.org,https://github.com/jquery/jquery-dist,130294,rails-assets-jquery,https://github.com/jquery/jquery-dist,https://github.com/jquery/jquery-dist
github.com/facebook/zstd,131985,github.com/facebook/zstd,https://github.com/facebook/zstd,https://github.com/facebook/zstd,668512,com.fpliu.ndk.pkg.prefab.android.21:zstd,https://facebook.github.io/zstd,https://github.com/facebook/zstd.git,188854,zstd-native-ruby,https://github.com/facebook/zstd,https://github.com/facebook/zstd
github.com/arvados/arvados,325786,github.com/arvados/arvados,https://github.com/arvados/arvados,https://github.com/arvados/arvados,219492,org.arvados:arvados-java-sdk,https://github.com/arvados/arvados,scm:git@https://github.com/arvados/arvados.git,9353,arvados-google-api-client,https://github.com/arvados/arvados/tree/main/sdk/ruby-google-api-client,https://github.com/arvados/arvados/tree/main/sdk/ruby-google-api-client
github.com/jruby/jruby,1016036,github.com/jruby/jruby,https://github.com/jruby/jruby,https://github.com/jruby/jruby,158530,org.jruby:jruby-parent,https://github.com/jruby/jruby,https://github.com/jruby/jruby,83606,jruby-readline,https://github.com/jruby/jruby,https://github.com/jruby/jruby
github.com/embulk/embulk-output-command,1941890,github.com/embulk/embulk-output-command,https://github.com/embulk/embulk-output-command,https://github.com/embulk/embulk-output-command,188683,org.embulk:embulk-output-command,https://www.embulk.org/,https://github.com/embulk/embulk-output-command,46552,embulk-output-command,https://github.com/embulk/embulk-output-command,https://github.com/embulk/embulk-output-command
github.com/webbit/webbit,1949869,github.com/webbit/webbit,https://github.com/webbit/webbit,https://github.com/webbit/webbit,70158,org.webbitserver:webbit,http://webbitserver.org/,git://github.com/webbit/webbit.git,182274,webbit-jars,http://github.com/webbit/webbit,http://github.com/webbit/webbit
github.com/thoughtbot/bitters,1955615,github.com/thoughtbot/bitters,https://github.com/thoughtbot/bitters,https://github.com/thoughtbot/bitters,69151,org.webjars.bower:bitters,http://webjars.org,https://github.com/thoughtbot/bitters,16671,bitters,https://github.com/thoughtbot/bitters,https://github.com/thoughtbot/bitters
github.com/spotify/ffwd,1957121,github.com/spotify/ffwd,https://github.com/spotify/ffwd,https://github.com/spotify/ffwd,521991,com.spotify.ffwd:ffwd-parent,https://github.com/spotify/ffwd,https://github.com/spotify/ffwd,53356,ffwd-tunnel,https://github.com/spotify/ffwd,https://github.com/spotify/ffwd
github.com/jruby/warbler,1976729,github.com/jruby/warbler,https://github.com/jruby/warbler,https://github.com/jruby/warbler,158497,org.jruby.warbler:warbler-embedded-jetty,http://github.com/jruby/warbler/,,181580,warbler,https://github.com/jruby/warbler,https://github.com/jruby/warbler
github.com/huaban/jieba-analysis,1980079,github.com/huaban/jieba-analysis,https://github.com/huaban/jieba-analysis,https://github.com/huaban/jieba-analysis,604682,com.huaban:jieba-analysis,http://maven.apache.org,git@github.com:huaban/jieba-analysis.git,82237,jieba-jruby,https://github.com/huaban/jieba-analysis,https://github.com/huaban/jieba-analysis
github.com/test-unit/test-unit,1991115,github.com/test-unit/test-unit,https://github.com/test-unit/test-unit,https://github.com/test-unit/test-unit,25996,rubygems:test-unit,https://github.com/test-unit/test-unit,https://github.com/test-unit/test-unit,168799,test-unit,https://test-unit.github.io/,https://github.com/test-unit/test-unit
github.com/thoughtbot/refills,2007317,github.com/thoughtbot/refills,https://github.com/thoughtbot/refills,https://github.com/thoughtbot/refills,66641,org.webjars.bower:refills,http://webjars.org,https://github.com/thoughtbot/refills,135327,refills,http://refills.bourbon.io,https://github.com/thoughtbot/refills
github.com/ag-ui-protocol/ag-ui,2166432,github.com/ag-ui-protocol/ag-ui/sdks/community/go,https://github.com/ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,720475,com.ag-ui.community:kotlin-client,https://github.com/ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,4748,ag-ui-protocol,https://docs.ag-ui.com/introduction,https://github.com/ag-ui-protocol/ag-ui
