Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
115157,poly_styled_jsx,,https://github.com/vercel/next.js.git,281507,github.com/vercel/next.js,https://github.com/vercel/next.js,https://github.com/vercel/next.js,138293,org.mvnpm.at.next:env,https://github.com/vercel/next.js#readme,https://github.com/vercel/next.js,3535370,vercel-nextjs,https://nextjs.org,git+https://github.com/vercel/next.js.git
218116,swc_ecma_minifier,,https://github.com/swc-project/swc.git,464398,github.com/swc-project/swc,https://github.com/swc-project/swc,https://github.com/swc-project/swc,137569,org.mvnpm.at.swc:core,https://swc.rs,https://github.com/swc-project/swc,1060552,@swc/wasm-web,https://github.com/swc-project/swc#readme,git+https://github.com/swc-project/swc.git
6534,rocketmq,,https://github.com/apache/rocketmq-clients/tree/master/rust,803493,github.com/apache/rocketmq-clients/golang/v5,https://github.com/apache/rocketmq-clients,https://github.com/apache/rocketmq-clients,229394,org.apache.rocketmq:rocketmq-client-java-parent,,git@github.com:apache/rocketmq-clients.git,3106745,rocketmq-nodejs-client,https://github.com/apache/rocketmq-clients/blob/master/nodejs/README.md,git+ssh://git@github.com/apache/rocketmq-clients.git
209664,deno_npm_cache,,https://github.com/denoland/deno,155393,github.com/denoland/deno,https://github.com/denoland/deno,https://github.com/denoland/deno,758017,org.mvnpm:deno,https://deno.com,https://github.com/denoland/deno,1731237,deno,https://deno.com,git+https://github.com/denoland/deno.git
216673,formatjs_cli,https://formatjs.io/,https://github.com/formatjs/formatjs,1602122,github.com/formatjs/formatjs,https://github.com/formatjs/formatjs,https://github.com/formatjs/formatjs,138782,org.mvnpm.at.formatjs:ecma402-abstract,https://github.com/formatjs/formatjs,ssh://git@github.com/formatjs/formatjs,3575584,vue-intl,https://formatjs.github.io/docs/vue-intl,git+https://github.com/formatjs/formatjs.git
15021,gpt4all,https://gpt4all.io/,https://github.com/nomic-ai/gpt4all/tree/main/gpt4all-bindings/rust,830174,github.com/nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,606049,com.hexadevlabs:gpt4all-java-binding,https://github.com/nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all/tree/main,2076095,gpt4all,https://github.com/nomic-ai/gpt4all#readme,git+https://github.com/nomic-ai/gpt4all.git
212501,superposition_types,https://juspay.io/open-source/superposition,https://github.com/juspay/superposition,1670061,github.com/juspay/superposition/clients/go,https://github.com/juspay/superposition,https://github.com/juspay/superposition,335882,io.juspay.superposition:bindings,https://github.com/juspay/superposition,https://github.com/juspay/superposition.git,3310961,superposition-sdk,https://github.com/juspay/superposition#readme,git+https://github.com/juspay/superposition.git
188840,tree-sitter-highlight-patched-arborium,,https://github.com/tree-sitter/tree-sitter,36155,github.com/tree-sitter/tree-sitter,https://github.com/tree-sitter/tree-sitter,https://github.com/tree-sitter/tree-sitter,133327,org.mvnpm:web-tree-sitter,https://github.com/tree-sitter/tree-sitter/tree/master/lib/binding_web,https://github.com/tree-sitter/tree-sitter,3617134,web-tree-sitter,https://github.com/tree-sitter/tree-sitter#readme,git+https://github.com/tree-sitter/tree-sitter.git
100338,libthemis-sys,https://www.cossacklabs.com/themis/,https://github.com/cossacklabs/themis,789081,github.com/cossacklabs/themis/docs/examples/go,https://github.com/cossacklabs/themis,https://github.com/cossacklabs/themis,688162,com.cossacklabs.com:java-themis,https://www.cossacklabs.com/themis/,https://github.com/cossacklabs/themis,3605660,wasm-themis,https://www.cossacklabs.com/themis/,git+https://github.com/cossacklabs/themis.git
53482,global_digital_address,https://github.com/sumitsharansatsangi/global_digital_address,https://github.com/sumitsharansatsangi/global_digital_address,2154021,github.com/sumitsharansatsangi/global_digital_address/packages/go,https://github.com/sumitsharansatsangi/global_digital_address,https://github.com/sumitsharansatsangi/global_digital_address,356191,io.github.sumitsharansatsangi:global-digital-address,https://github.com/sumitsharansatsangi/global_digital_address,https://github.com/sumitsharansatsangi/global_digital_address,2064172,global_digital_address,https://github.com/sumitsharansatsangi/global_digital_address#readme,git+https://github.com/sumitsharansatsangi/global_digital_address.git
149108,lancedb,,https://github.com/lancedb/lancedb,1355079,github.com/lancedb/lancedb,https://github.com/lancedb/lancedb,https://github.com/lancedb/lancedb,584969,com.lancedb:lancedb-parent,http://lancedb.com/,https://github.com/lancedb/lancedb,3531949,vectordb-linux-x64-gnu,,https://github.com/lancedb/lancedb/node
126994,qrcodegen-no-heap,https://www.nayuki.io/page/qr-code-generator-library,https://github.com/nayuki/QR-Code-generator,926540,github.com/nayuki/qr-code-generator,https://github.com/nayuki/qr-code-generator,https://github.com/nayuki/qr-code-generator,634295,com.github.nayuki:qrcodegen,https://www.nayuki.io/page/qr-code-generator-library,https://github.com/nayuki/QR-Code-generator/tree/master/java,928591,@ribpay/qr-code-generator,https://github.com/nayuki/QR-Code-generator#readme,git+https://github.com/nayuki/QR-Code-generator.git
132414,parcel-resolver,,https://github.com/parcel-bundler/parcel,1581153,github.com/parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,52418,org.webjars.npm:parcel__fs,http://webjars.org,https://github.com/parcel-bundler/parcel,2810174,parcel-bundler2-alpha,https://github.com/parcel-bundler/parcel#readme,git+https://github.com/parcel-bundler/parcel.git
217624,oxc_minifier,https://oxc.rs,https://github.com/oxc-project/oxc,2164056,github.com/oxc-project/oxc,https://github.com/oxc-project/oxc,https://github.com/oxc-project/oxc,134756,org.mvnpm:oxlint,https://oxc.rs,https://github.com/oxc-project/oxc,2796008,oxlint,https://oxc.rs,git+https://github.com/oxc-project/oxc.git
154762,tree-sitter-json,,https://github.com/tree-sitter/tree-sitter-json,698858,github.com/tree-sitter/tree-sitter-json,https://github.com/tree-sitter/tree-sitter-json,https://github.com/tree-sitter/tree-sitter-json,133653,org.mvnpm:tree-sitter-json,https://github.com/tree-sitter/tree-sitter-json#readme,https://github.com/tree-sitter/tree-sitter-json,3442858,tree-sitter-json,https://github.com/tree-sitter/tree-sitter-json#readme,git+https://github.com/tree-sitter/tree-sitter-json.git
189206,decancer,,https://github.com/null8626/decancer,1574766,github.com/null8626/decancer,https://github.com/null8626/decancer,https://github.com/null8626/decancer,372713,io.github.null8626:decancer,https://github.com/null8626/decancer,https://github.com/null8626/decancer,1720798,decancer,https://github.com/null8626/decancer#readme,git+https://github.com/null8626/decancer.git
200898,gbfs_types,https://github.com/MobilityData/gbfs-json-schema/tree/master/models/rust,https://github.com/MobilityData/gbfs-json-schema,1548100,github.com/mobilitydata/gbfs-json-schema/models/golang,https://github.com/mobilitydata/gbfs-json-schema,https://github.com/mobilitydata/gbfs-json-schema,141234,org.mobilitydata:gbfs-java-model,https://github.com/MobilityData/gbfs-json-schema,https://github.com/MobilityData/gbfs-json-schema/tree/master,2015661,gbfs-typescript-types,https://github.com/MobilityData/gbfs-json-schema#readme,git+https://github.com/MobilityData/gbfs-json-schema.git
