Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
102032,tvm,https://github.com/apache/tvm,https://github.com/apache/tvm,445251,github.com/apache/tvm,https://github.com/apache/tvm,https://github.com/apache/tvm,3463938,tvmjs,https://github.com/apache/tvm/tree/main/web,git+https://github.com/apache/tvm.git#main,669262,tvm-ffi,https://github.com/apache/tvm,https://github.com/apache/tvm
207797,dictgen,,https://github.com/crate-ci/typos,951616,github.com/crate-ci/typos,https://github.com/crate-ci/typos,https://github.com/crate-ci/typos,1652074,crate-ci-typos,https://github.com/crate-ci/typos#readme,git+https://github.com/crate-ci/typos.git,673137,typos,https://pypi.org/project/typos/,https://github.com/crate-ci/typos
206432,oxigraph,https://oxigraph.org/,https://github.com/oxigraph/oxigraph/tree/main/lib/oxigraph,1877423,github.com/oxigraph/oxigraph,https://github.com/oxigraph/oxigraph,https://github.com/oxigraph/oxigraph,2795978,oxigraph,https://github.com/oxigraph/oxigraph/tree/main/js,git+https://github.com/oxigraph/oxigraph.git,511090,pyoxigraph,https://pyoxigraph.readthedocs.io/,https://github.com/oxigraph/oxigraph/tree/main/python
193998,i-slint-renderer-skia,https://slint.dev,https://github.com/slint-ui/slint,1007428,github.com/slint-ui/slint,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,3227927,slint-ui,https://github.com/slint-ui/slint,git+https://github.com/slint-ui/slint.git,599074,slint-compiler,https://pypi.org/project/slint-compiler/,https://github.com/slint-ui/slint
27899,spidery,https://www.spidery.khulnasoft.com/,https://github.com/khulnasoft/spidery,1908502,github.com/khulnasoft/spidery/apps/go-sdk/spidery-go,https://github.com/khulnasoft/spidery,https://github.com/khulnasoft/spidery,607815,@khulnasoft/spidery-js,https://github.com/khulnasoft/spidery#readme,git+https://github.com/khulnasoft/spidery.git,610834,spidery-py,https://github.com/khulnasoft/spidery,https://github.com/khulnasoft/spidery
117141,mz-http-proxy,,https://github.com/MaterializeInc/materialize/tree/main/src/http-proxy,508488,github.com/materializeinc/materialize,https://github.com/materializeinc/materialize,https://github.com/materializeinc/materialize,689150,@materializeinc/sql-pretty,https://github.com/MaterializeInc/materialize#readme,git+https://github.com/MaterializeInc/materialize.git,134209,dbt-materialize,https://github.com/MaterializeInc/materialize/blob/main/misc/dbt-materialize,https://github.com/MaterializeInc/materialize/blob/main/misc/dbt-materialize
163890,prqlc-macros,,https://github.com/PRQL/prql,1678494,github.com/prql/prql,https://github.com/prql/prql,https://github.com/prql/prql,2904234,prqlc,https://prql-lang.org/,git+https://github.com/PRQL/prql.git,480978,prql-python,https://pypi.org/project/prql-python/,https://github.com/PRQL/prql
56062,snitch-protos,https://streamdal.com,https://github.com/streamdal/snitch-protos,855482,github.com/streamdal/snitch-protos,https://github.com/streamdal/snitch-protos,https://github.com/streamdal/snitch-protos,1048202,@streamdal/snitch-protos,https://github.com/streamdal/stitch-protos/build/ts/node,git+https://github.com/streamdal/snitch-protos.git,602721,snitch-protos,https://github.com/streamdal/snitch-protos,https://github.com/streamdal/snitch-protos
64952,evmole,,https://github.com/cdump/evmole,2227742,github.com/cdump/evmole/go,https://github.com/cdump/evmole,https://github.com/cdump/evmole,1896654,evmole,https://github.com/cdump/evmole#readme,git+https://github.com/cdump/evmole.git,196625,evmole,https://pypi.org/project/evmole/,https://github.com/cdump/evmole
91542,cozorocks,https://www.cozodb.org,https://github.com/cozodb/cozo,1571671,github.com/cozodb/cozo,https://github.com/cozodb/cozo,https://github.com/cozodb/cozo,1692560,cyb-cozo-lib-wasm,https://www.cozodb.org,git+https://github.com/cozodb/cozo.git,114780,cozo-embedded,https://www.cozodb.org,https://github.com/cozodb/cozo
189471,ison-rs,https://www.ison.dev,https://github.com/maheshvaikri-code/ison,2225791,github.com/maheshvaikri-code/ison,https://github.com/maheshvaikri-code/ison,https://github.com/maheshvaikri-code/ison,2616631,n8n-nodes-ison,https://www.ison.dev,git+https://github.com/maheshvaikri-code/ison.git,289285,ison-py,https://pypi.org/project/ison-py/,https://github.com/maheshvaikri-code/ison
212823,web-tree-sitter-sg,https://ast-grep.github.io/,https://github.com/ast-grep/ast-grep,1566515,github.com/ast-grep/ast-grep,https://github.com/ast-grep/ast-grep,https://github.com/ast-grep/ast-grep,1383919,ast-grep-cli,https://github.com/ast-grep/ast-grep#readme,git+https://github.com/ast-grep/ast-grep.git,36292,ast-grep-pyo3,https://pypi.org/project/ast-grep-pyo3/,https://github.com/ast-grep/ast-grep
105202,ruff,https://docs.astral.sh/ruff,https://github.com/astral-sh/ruff,1050799,github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,3121178,ruffjs,https://beta.ruff.rs/docs/,git+https://github.com/astral-sh/ruff.git,566561,ruff-autoboat,https://docs.astral.sh/ruff,https://github.com/astral-sh/ruff
106396,misitebao,https://github.com/misitebao/misitebao,https://github.com/misitebao/misitebao,624363,github.com/misitebao/misitebao,https://github.com/misitebao/misitebao,https://github.com/misitebao/misitebao,2541509,misitebao,https://github.com/misitebao/misitebao,git+https://github.com/misitebao/misitebao.git,361754,misitebao,https://github.com/misitebao/misitebao,https://github.com/misitebao/misitebao
109538,alpaga-test,https://github.com/tonyo/alpaga/,,775236,github.com/tonyo/alpaga/testmod,https://github.com/tonyo/alpaga,https://github.com/tonyo/alpaga,1108106,@tonyo/alpaga,https://github.com/tonyo/alpaga#readme,git+https://github.com/tonyo/alpaga.git,20471,alpaga,https://github.com/tonyo/alpaga/,https://github.com/tonyo/alpaga/
156892,utxorpc-spec,https://github.com/utxorpc/spec,https://github.com/utxorpc/spec,930008,github.com/utxorpc/spec,https://github.com/utxorpc/spec,https://github.com/utxorpc/spec,1559470,chow-spec-test,https://github.com/utxorpc/spec#readme,git+https://github.com/utxorpc/spec.git,681134,utxorpc-spec,https://github.com/utxorpc/spec,https://github.com/utxorpc/spec
140948,tdd-guard-rust,https://github.com/nizos/tdd-guard,https://github.com/nizos/tdd-guard,2093035,github.com/nizos/tdd-guard,https://github.com/nizos/tdd-guard,https://github.com/nizos/tdd-guard,3349600,tdd-guard-vitest,https://github.com/nizos/tdd-guard#readme,git+https://github.com/nizos/tdd-guard.git,637155,tdd-guard-pytest,https://pypi.org/project/tdd-guard-pytest/,https://github.com/nizos/tdd-guard
141741,sentinel-sdk,,https://github.com/swayam8624/Sentinel,2105222,github.com/swayam8624/sentinel,https://github.com/swayam8624/sentinel,https://github.com/swayam8624/sentinel,1244301,@yugenkairo/sentinel-sdk,https://github.com/swayam8624/Sentinel#readme,git+https://github.com/swayam8624/Sentinel.git,719075,yugenkairo-sentinel-sdk,https://github.com/swayam8624/Sentinel,https://github.com/swayam8624/Sentinel
141795,posthog-cli,https://posthog.com,https://github.com/PostHog/posthog,1694297,github.com/posthog/posthog/livestream,https://github.com/posthog/posthog,https://github.com/posthog/posthog,870901,@posthog/cli,https://posthog.com,git+https://github.com/PostHog/posthog.git,266188,hogql-parser,https://github.com/PostHog/posthog/tree/master/common/hogql_parser,https://github.com/PostHog/posthog/tree/master/common/hogql_parser
141889,go-server-rust-sdk,https://github.com/go-enols/go-server,https://github.com/go-enols/go-server,1979081,github.com/go-enols/go-server,https://github.com/go-enols/go-server,https://github.com/go-enols/go-server,2067620,go-server-sdk,https://github.com/go-enols/go-server#readme,git+https://github.com/go-enols/go-server.git,247689,go-server-sdk,https://github.com/go-enols/go-server,https://github.com/go-enols/go-server
146685,indy-vdr,,https://github.com/hyperledger/indy-vdr/,201633,github.com/hyperledger/indy-vdr,https://github.com/hyperledger/indy-vdr,https://github.com/hyperledger/indy-vdr,2221860,indy-vdr-test-shared,https://github.com/hyperledger/indy-vdr/tree/main/wrappers/javascript/indy-vdr-test-shared,git+https://github.com/hyperledger/indy-vdr.git,281299,indy-vdr,https://github.com/hyperledger/indy-vdr,https://github.com/hyperledger/indy-vdr
215524,squawk-wasm,https://squawkhq.com,https://github.com/sbdchd/squawk,731413,github.com/sbdchd/squawk,https://github.com/sbdchd/squawk,https://github.com/sbdchd/squawk,3265214,squawk-cli,https://github.com/sbdchd/squawk#readme,git+ssh://git@github.com/sbdchd/squawk.git,615087,squawk-cli,https://squawkhq.com,https://github.com/sbdchd/squawk
150799,lux-dex,,https://github.com/luxfi/dex,2096874,github.com/luxfi/dex,https://github.com/luxfi/dex,https://github.com/luxfi/dex,669019,@luxfi/trading,https://dex.lux.network,git+https://github.com/luxfi/dex.git,336879,lux-dex,https://github.com/luxfi/dex,https://github.com/luxfi/dex
150873,qasmfmt,,https://github.com/orangekame3/qasmfmt,2057112,github.com/orangekame3/qasmfmt,https://github.com/orangekame3/qasmfmt,https://github.com/orangekame3/qasmfmt,2921044,qasmfmt,https://github.com/orangekame3/qasmfmt#readme,git+https://github.com/orangekame3/qasmfmt.git,536134,qasmfmt,https://pypi.org/project/qasmfmt/,https://github.com/orangekame3/qasmfmt
151036,pqc-binary-format,https://pqcrypta.com,https://github.com/PQCrypta/pqcrypta-community,2231179,github.com/pqcrypta/pqcrypta-community,https://github.com/pqcrypta/pqcrypta-community,https://github.com/pqcrypta/pqcrypta-community,2877402,pqc-binary-format,https://pqcrypta.com,git+https://github.com/PQCrypta/pqcrypta-community.git,473129,pqc-binary-format,https://pqcrypta.com,https://github.com/PQCrypta/pqcrypta-community
