Go_ID,Go_Name,Go_Homepage,Go_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
13091,github.com/google/grpc,https://github.com/google/grpc,https://github.com/google/grpc,182138,wearefair-grpc,https://github.com/google/grpc/tree/master/src/ruby,https://github.com/google/grpc/tree/master/src/ruby
20458,github.com/shopify/ejson,https://github.com/shopify/ejson,https://github.com/shopify/ejson,45452,ejson,https://github.com/Shopify/ejson,https://github.com/Shopify/ejson
714618,www.github.com/bettercap/bettercap.git,https://www.github.com/bettercap/bettercap,https://www.github.com/bettercap/bettercap,15431,bettercap,https://github.com/evilsocket/bettercap,https://github.com/bettercap/bettercap
24211,github.com/akerl/speculate/v2,https://github.com/akerl/speculate,https://github.com/akerl/speculate,159093,speculate,https://github.com/akerl/speculate,https://github.com/akerl/speculate
34238,github.com/jhaals/yopass,https://github.com/jhaals/yopass,https://github.com/jhaals/yopass,187524,yopass,https://github.com/jhaals/yopass,https://github.com/jhaals/yopass
41779,github.com/bkeepers/dotenv,https://github.com/bkeepers/dotenv,https://github.com/bkeepers/dotenv,42091,dotenv-rails,https://github.com/bkeepers/dotenv,https://github.com/bkeepers/dotenv
54146,github.com/burke/zeus,https://github.com/burke/zeus,https://github.com/burke/zeus,188387,zeus,https://github.com/burke/zeus,https://github.com/burke/zeus
58305,github.com/flant/dapp,https://github.com/flant/dapp,https://github.com/flant/dapp,35858,dapp,https://github.com/flant/dapp,https://github.com/flant/dapp
69139,github.com/zendesk/ruby-kafka,https://github.com/zendesk/ruby-kafka,https://github.com/zendesk/ruby-kafka,143940,ruby-kafka-temp-fork,https://github.com/zendesk/ruby-kafka,https://github.com/zendesk/ruby-kafka
87491,github.com/heroku/force,https://github.com/heroku/force,https://github.com/heroku/force,57393,force,https://github.com/heroku/force,https://github.com/heroku/force
92795,github.com/elastic/logstash,https://github.com/elastic/logstash,https://github.com/elastic/logstash,117705,paquet,https://github.com/elastic/logstash,https://github.com/elastic/logstash
118148,github.com/percy/percy-client,https://github.com/percy/percy-client,https://github.com/percy/percy-client,119651,percy-client,https://rubygems.org/gems/percy-client,https://github.com/percy/percy-client
