Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo
github.com/smithy-lang/smithy-rs,217047,aws-runtime,,https://github.com/smithy-lang/smithy-rs,19671,software.amazon.smithy.rust:aws-rust-runtime,https://github.com/smithy-lang/smithy-rs,https://github.com/smithy-lang/smithy-rs.git
github.com/mydotey/lang-extension,4441,lang-extension,https://github.com/mydotey/lang-extension/tree/master/rust,https://github.com/mydotey/lang-extension,132971,org.mydotey.lang:lang-extension,https://github.com/mydotey/lang-extension,https://github.com/mydotey/lang-extension
github.com/mydotey/scf,4476,scf-core,https://github.com/mydotey/scf/tree/master/rust,https://github.com/mydotey/scf,132957,org.mydotey.scf:scf,https://github.com/mydotey/scf,https://github.com/mydotey/scf
github.com/iotaledger/iota-rust-sdk,160210,iota-sdk-transaction-builder,,https://github.com/iotaledger/iota-rust-sdk/,170419,org.iota:iota-sdk,https://github.com/iotaledger/iota-rust-sdk,https://github.com/iotaledger/iota-rust-sdk
github.com/akashrawal/disposables,146570,disposables,https://github.com/akashrawal/disposables,https://github.com/akashrawal/disposables,439393,io.01def:disposables,https://github.com/akashrawal/disposables,http://github.com/akashrawal/disposables
github.com/rust-nostr/android-signer,14057,nostr-android-signer,https://github.com/rust-nostr/android-signer,https://github.com/rust-nostr/android-signer.git,100984,org.rust-nostr:android-signer-proxy,https://rust-nostr.org,https://github.com/rust-nostr/android-signer
github.com/rapidsai/cuvs,177092,jawe-cuvs-iv,https://github.com/rapidsai/cuvs,https://github.com/rapidsai/cuvs,559194,com.nvidia.cuvs:cuvs-java,https://rapids.ai,https://github.com/rapidsai/cuvs
github.com/astonbitecode/j4rs,163348,j4rs,,https://github.com/astonbitecode/j4rs,411157,io.github.astonbitecode:j4rs,https://github.com/astonbitecode/j4rs,git@github.com:astonbitecode/j4rs.git
github.com/yangkx-1024/mmkv,151705,mmkv,,https://github.com/yangkx-1024/MMKV,261058,net.yangkx:mmkv,,https://github.com/yangkx-1024/MMKV
github.com/palantir/conjure-rust,209176,conjure-serde,,https://github.com/palantir/conjure-rust,551844,com.palantir.conjure.rust:conjure-rust,https://github.com/palantir/conjure-rust,git@github.com:palantir/conjure-rust.git
github.com/literateink/scodok,29290,scodok,https://docs.literate.ink/scodok,https://github.com/LiterateInk/Scodok,439614,ink.literate:scodok,https://docs.literate.ink/scodok,https://github.com/LiterateInk/Scodok
github.com/john-sharratt/ate,131289,ateweb,,https://github.com/john-sharratt/ate/tree/master/atefs,509718,com.tokera:ate,,https://github.com/john-sharratt/ate
github.com/literateink/clickandmeow,31473,clickandmeow,https://docs.literate.ink/clickandmeow,https://github.com/LiterateInk/ClickAndMeow,439623,ink.literate:clickandmeow,https://docs.literate.ink/clickandmeow,https://github.com/LiterateInk/ClickAndMeow
github.com/softprops/treeline,47669,treeline,https://github.com/softprops/treeline,https://github.com/softprops/treeline,287817,me.lessis:treeline_2.10,https://github.com/softprops/treeline/,git@github.com:softprops/treeline.git
github.com/temperlang/temper,52463,temper-std,https://temperlang.dev/,https://github.com/temperlang/temper/,460357,dev.temperlang:temper-core,https://temperlang.dev/,https://github.com/temperlang/temper
github.com/s1rius/ezlog,139672,ezlogcli,https://github.com/s1rius/ezlog,https://github.com/s1rius/ezlog,2353,wtf.s1.ezlog:ezlog,https://github.com/s1rius/ezlog.git,https://github.com/s1rius/ezlog.git
